PARK,PARK_NO,NAME,the_geom,X_COORD,Y_COORD,ARTIST,OWNER,GISOBJID
GILL (JOSEPH),364,Matriarchy for a New Millennium,POINT (-87.65041196819625 41.951693928816006),-87.65041197,41.95169393,Tim Portlock & Beatriz Santiago Mu�oz,Private,6156
GRAND CROSSING,15,An Allegory of Recreation,POINT (-87.60045879122413 41.755578200474396),-87.60045879,41.7555782,Chester Dryan,CPD,6157
GRANT (ULYSSES),24,Aqua Interlude & Reflection,POINT (-87.61806105691296 41.86800448883701),-87.61806106,41.86800449,Mirtes Zwierzynski & Maria Gaspar,CPD,6158
GRANT (ULYSSES),24,Riverwalk Gateway Murals,POINT (-87.61382831936565 41.88782260959582),-87.61382832,41.88782261,Ellen Lanyon,City of Chicago,6218
HAMILTON (ALEXANDER),9,Historical Series,POINT (-87.63771167651555 41.76317702503097),-87.63771168,41.76317703,John Warner Norton,CPD,6159
HARRIS (HARRIET),524,Woodlawn Heroes,POINT (-87.60461332673154 41.78180453008111),-87.60461333,41.78180453,Damon Lamar Reed,CPD,6160
HAYES (FRANCIS),242,In the Swim,POINT (-87.69708498966732 41.7390887866016),-87.69708499,41.73908879,Laurie Shaman,City of Chicago,6161
HOLSTEIN,203,Playground Art,POINT (-87.68513372852159 41.92247251252656),-87.68513373,41.92247251,Bucktown Arts Fest,CPD,6162
HOLSTEIN,203,Summer Day Camp,POINT (-87.68506504768597 41.92181374241305),-87.68506505,41.92181374,Connie Hinkle,CPD,6163
"HOUSTON (JESSIE ""MA"")",278,Feed Your Child the Truth,POINT (-87.60548512684124 41.80345407048615),-87.60548513,41.80345407,"Bernard Williams, Stephanie George, Julia Barlow",CPD,6164
INDEPENDENCE,83,May the Spirit of 1776 Live On,POINT (-87.7247868652036 41.95297391625553),-87.72478687,41.95297392,Max Robert Decker,CPD,6165
JACKSON (ANDREW),19,57th Street Underpass Mural (The Path of Our Community),POINT (-87.58002725346779 41.79282339395559),-87.58002725,41.79282339,Mirtes Zwierzynski,City of Chicago,6166
"KING (MARTIN LUTHER, JR.)",334,"We March, We Dance, We Sing for Freedom",POINT (-87.65486000348128 41.755725867934196),-87.65486,41.75572587,Damon Reed & Juan Carlos Perez,CPD,6167
LAKE SHORE,107,Relief Sculpture,POINT (-87.61775409372898 41.89719129675464),-87.61775409,41.8971913,Phil Schuster,CPD,6168
ADDAMS (JANE) MEML.,1224,Jane Addams Mosaic,POINT (-87.61375086665501 41.8927674848245),-87.61375087,41.89276749,Mirtes Zwierzynski,City of Chicago & CPD,6169
LINCOLN (ABRAHAM),100,Alternatives,POINT (-87.64987532589713 41.97200099983805),-87.64987533,41.972001,Ginny Sykes & Julia Sowles-Barlow,CPD,6170
LINCOLN (ABRAHAM),100,American Bison,POINT (-87.6343854655501 41.926566167171664),-87.63438547,41.92656617,Chris Williams,Notebaert Museum,6171
LINCOLN (ABRAHAM),100,Steelroots,POINT (-87.6342201354024 41.92613911090407),-87.63422014,41.92613911,Steve Tobin,On loan to Notebaert Musuem,6181
LINCOLN (ABRAHAM),100,Buena Avenue Underpass Murals (Welcome to Buena Park),POINT (-87.64622372626269 41.958517447447285),-87.64622373,41.95851745,Jeff Littleton & Rachel Slotnick,CPD,6172
LINCOLN (ABRAHAM),100,Peace Garden Mosaic,POINT (-87.64569162502305 41.95858037437332),-87.64569163,41.95858038,Lynn Takata,CPD,6179
LINCOLN (ABRAHAM),100,Peace & Justice,POINT (-87.64531720293154 41.9583387517639),-87.6453172,41.95833875,Margo McMahon,Soka Gakkai International,6178
LINCOLN (ABRAHAM),100,Come to Light,POINT (-87.6524071094688 41.98570376881168),-87.65240711,41.98570377,"Andy Bellomo, Will Nicholson, Brett Whitacre",CPD,6173
LINCOLN (ABRAHAM),100,Hug Chicago Mural,POINT (-87.63585086534842 41.93848996478238),-87.63585087,41.93848997,"Julia Sowles-Barlow, CPAG",City of Chicago,6174
LINCOLN (ABRAHAM),100,Indian Land Dancing,POINT (-87.65039233830987 41.97654733530388),-87.65039234,41.97654734,"Tracy van Duinen et al, CPAG",City of Chicago,6175
LINCOLN (ABRAHAM),100,Abraham Lincoln Portrait,POINT (-87.63588654274427 41.9196195392844),-87.63588654,41.91961954,William Patterson,CPD,6176
LINCOLN (ABRAHAM),100,Living 2007 (North Wall); Growing 2008 (South Wall),POINT (-87.65288134541737 41.98398782791924),-87.65288135,41.98398783,"Tracy van Duinen et al, CPAG",City of Chicago,6177
LINCOLN (ABRAHAM),100,Rhythm & Views,POINT (-87.63839573446076 41.94050620953721),-87.63839573,41.94050621,"Tracy van Duinen, Todd Osborne, Phil Schuster",City of Chicago,6180
LINCOLN (ABRAHAM),100,You Know What You Should Do,POINT (-87.62422809617532 41.90434178838407),-87.6242281,41.90434179,Jeff Zimmerman,City of Chicago,6182
LINCOLN (ABRAHAM),100,Adelor,POINT (-87.63229066744333 41.92198338108177),-87.63229067,41.92198338,Anna Koh Varilla & Jeffrey Hanson Varilla,Lincoln Park Zoo,6183
